
Reza Marzban
The following sort functions are done on the whole data provided, but only 50 record of each query's result are printed just to show a subset of results and also save space.
-----------------------------
Testing the functions and printing their results:
1.Sorting Blocks by Gas Used increasing:
block hash	block number	size	time stamp	total difficulty	miner	gas limit	gas used
 
0x72010c0f1576e34522062545e3289f003206b0a21d7100a151242421e757722a	3110619	1905	1538786625	5765048	0x0000000000000000000000000000000000000000	7707696	629625 
 
0x140513bff9f04748940a9caaee17ac533faa031f8f84c2f9c9d6f65e49222a8c	3110723	1490	1538788187	5765172	0x0000000000000000000000000000000000000000	7748440	670635 
 
0x3521e94462e46166c621794df2aa5dd1c5f85ec86c007e5b6e43cd8b1373300e	3110054	2905	1538778146	5764334	0x0000000000000000000000000000000000000000	7770000	683884 
 
0x5051e374a98d903a33559d7e87a1a1346528706e9a4e9367373218772c5b04bc	3110067	1714	1538778341	5764350	0x0000000000000000000000000000000000000000	7760318	739420 
 
0xebc79bf708b0566ad1c5e4ce0854c5725502385b7ec8f4be2207423e5e5a2ec9	3110378	4181	1538783007	5764746	0x0000000000000000000000000000000000000000	7867274	758172 
 
0x06059c6fd8efff39b2ed540c6f102737fc956b791158f6270325a59837459b62	3110072	4521	1538778416	5764355	0x0000000000000000000000000000000000000000	7748671	799924 
 
0x05c94fcc5bb05e47d671a55d3f3d0cca6960ae83c91b93a236fca38f00cbefa8	3110558	2555	1538785708	5764969	0x0000000000000000000000000000000000000000	7684730	801311 
 
0xbff001a9cd5cbc95c0622cd85dc876b5b9a4443945f2739f52f62cb92405c1dd	3110411	2051	1538783502	5764783	0x0000000000000000000000000000000000000000	7815267	814056 
 
0xc8b438eef0fc49a04f15a82e66bc4229366e54b219b7624bb5f9055ad4303050	3110614	3530	1538786550	5765042	0x0000000000000000000000000000000000000000	7712992	822485 
 
0x797da8aa7db35a5a943eaba95b43d15b8097cbc0453dca46dc95fefdfaa39786	3110783	2118	1538789087	5765250	0x0000000000000000000000000000000000000000	7768550	825553 
 
0x200e3ba2b28ae216f3ef35e8cf4451f9572c94896894e262de95f54236c6e313	3110623	1564	1538786685	5765053	0x0000000000000000000000000000000000000000	7718421	833221 
 
0xcb2db8f3da90e8d48cdfa599c3ce6f4f7023e7c109398857f9903cfeeacf00e6	3110790	4486	1538789192	5765261	0x0000000000000000000000000000000000000000	7750860	842758 
 
0xcba5e84cd135f7f97bd84768e0bbbcd862f06a6a5e960d5003efa5bfa5e5a03b	3110547	3534	1538785543	5764955	0x0000000000000000000000000000000000000000	7697476	850332 
 
0x82748d7ef56f53ada3d3573a7ff2d4de5dd64e83f1cf5597bf683f54fa2f4b22	3110079	2215	1538778521	5764364	0x0000000000000000000000000000000000000000	7746223	860728 
 
0x28fa04898e52028d1f254f9a3ccace0a789cf5ac384df740b12a00dd8957714e	3110117	3129	1538779092	5764413	0x0000000000000000000000000000000000000000	7770000	867554 
 
0xb26be7d003742d42012905a0f2de326b633fcc372a5040d16f8f4bb868cf3e54	3110077	4119	1538778491	5764361	0x0000000000000000000000000000000000000000	7756557	870358 
 
0x7eac3ca6c3f7ed6f18f2b4a8e127980affcc9a532ed5de8877ef4f9248f4c8ef	3110791	1844	1538789207	5765262	0x0000000000000000000000000000000000000000	7744526	886776 
 
0xe70684be5d31e98a9c0872a791f7c377a4a515773d05a69d4423e09fc047724f	3110070	3914	1538778386	5764353	0x0000000000000000000000000000000000000000	7752067	908298 
 
0x52c6cced96ff8c6d7c3bdc4962e853f742eaf8aa5d48544f10d0ff608d85e299	3110799	1958	1538789327	5765270	0x0000000000000000000000000000000000000000	7738319	909195 
 
0xd689e1d27f18c1f5f2f1ff3d414417fe2dd14b6491eb7bdf89b031ad30ab86bb	3110499	4948	1538784823	5764892	0x0000000000000000000000000000000000000000	7731977	918140 
 
0x97012119435a7a911a131867cf8507f8a188b03a9d5a173cbb6ae3c475a1c583	3110471	1769	1538784403	5764855	0x0000000000000000000000000000000000000000	7758387	921669 
 
0x00a3eb9c6d74e2563c20a0fbd9fef87e655bc250d9e7d0afd41e094c12eed2c9	3110138	3851	1538779407	5764439	0x0000000000000000000000000000000000000000	7766392	929937 
 
0xa1894ff3576bc6d83da6643c076c1ce4a3bdac895ac663a735b36cc745072137	3110735	3773	1538788367	5765188	0x0000000000000000000000000000000000000000	7756305	933218 
 
0xbb794cb402785fd30d9d1b58427af4e987d6b292a0a0b2d23bc166c59fe74435	3110383	2146	1538783082	5764751	0x0000000000000000000000000000000000000000	7854845	935608 
 
0x6c1f41a6d120865fd4e9f309e48329715a26775244eab7994c8da1a90d847562	3110542	4349	1538785468	5764949	0x0000000000000000000000000000000000000000	7704063	941028 
 
0xeb450bcf92c7c0626da275fefa5b94f7ec25e6f63d7a371a9a5c27e32d8a9704	3110497	3203	1538784793	5764890	0x0000000000000000000000000000000000000000	7730599	945008 
 
0xbca8e6321437e14ba922a85f5a44e6ae09cf42a67b6edbc4d1899f83fa907130	3110287	2460	1538781642	5764626	0x0000000000000000000000000000000000000000	7981534	949150 
 
0xb65234377570ba583adc3cc880b9eafe24ca05f5e29b89fa87afaea9bc50f954	3110530	1832	1538785288	5764933	0x0000000000000000000000000000000000000000	7708779	958486 
 
0xdac691691197017ca48740048d9b7ef9ab9996c04a10e79e044cf66420ca47c0	3110443	4325	1538783983	5764822	0x0000000000000000000000000000000000000000	7766782	963176 
 
0x4d9cb4c2390e1fdbb9951f27fa45bf3487758252f7355a3bf3fb471f082e7cfa	3110496	4344	1538784778	5764889	0x0000000000000000000000000000000000000000	7736719	979466 
 
0x6dca48d39b8cf3f5134e7289ac53dc3dfbd025c9952e48ef36958551d57af468	3110438	4486	1538783908	5764815	0x0000000000000000000000000000000000000000	7772972	982531 
 
0x17d915fa4f7aa2a07030634423c773931f98bd547a1d7c7bc3134e12b2997b5e	3110066	4011	1538778326	5764349	0x0000000000000000000000000000000000000000	7752748	983179 
 
0x88f2d4fdc122ea8cd52dacdf6eaab3ccf6aba185b5e58be6ff4ee2cbe11f1d4e	3110711	4175	1538788007	5765159	0x0000000000000000000000000000000000000000	7737930	991003 
 
0x740cfe57de53ea66ce629d3340b007cf20168a85c6e085cefb2186b3aa76d1e5	3110380	5159	1538783037	5764748	0x0000000000000000000000000000000000000000	7863416	1004796 
 
0x92a548dbefb3b27c0e5c03392e596e3812d486104bf3af86b7eba1d93cd86a32	3110560	4343	1538785738	5764973	0x0000000000000000000000000000000000000000	7685897	1017152 
 
0x340532db297ac59d7768d45c3e63528056615eaef452b8d269cab6e7ae1851d1	3110743	2188	1538788487	5765198	0x0000000000000000000000000000000000000000	7756878	1022922 
 
0x85a0a484b81ab4dc58cb9b1202cdf2627816e76f01df1cb5d310c7d2c379105a	3110604	3030	1538786400	5765030	0x0000000000000000000000000000000000000000	7714644	1033901 
 
0xf7c3b58176b0297de12427bd1f91af2975df9b0130c5fc558391de9a98d2c5f8	3110444	2754	1538783998	5764824	0x0000000000000000000000000000000000000000	7760609	1036274 
 
0x8ad981ade44bb08f89745e061b01e182fbd19dd169dd6aa2a375d3addd35d340	3110295	3234	1538781762	5764638	0x0000000000000000000000000000000000000000	7955353	1036967 
 
0xb2434ab472f1abc1ef20430eea207370791f3d173a9931de664766d3c6697a07	3110779	2661	1538789027	5765244	0x0000000000000000000000000000000000000000	7757736	1044402 
 
0x20036aedc4f13212e0856da72a35e35455a138f5ba796b1b07288212a63eb859	3110063	4361	1538778281	5764345	0x0000000000000000000000000000000000000000	7761444	1045982 
 
0x97637af34225d118050cfc929cc41d2048faa2add233ee81d8372789e8f7083f	3110019	4589	1538777621	5764288	0x0000000000000000000000000000000000000000	7772793	1056930 
 
0xea4d9301327fbc8c0ca6a7cfe7630b8cceef8592fc72bcc19c7550802d4e545a	3110554	5486	1538785648	5764963	0x0000000000000000000000000000000000000000	7693597	1072456 
 
0x352f8ec984921c971f898e34aa88bfce984adb38bd3f32868f978a95f8ddb7a8	3110434	3354	1538783847	5764810	0x0000000000000000000000000000000000000000	7776192	1078104 
 
0x2feb2d0c886b4eacc9d866e94990cbb72a6434f12a9f303f63984bd331cebb21	3110675	5527	1538787466	5765114	0x0000000000000000000000000000000000000000	7749395	1082100 
 
0xd93240d42fb17fc8a0a439db5647df7c6f2f108ec961fa2ef1d0b7ee7540090b	3110495	4342	1538784763	5764887	0x0000000000000000000000000000000000000000	7742693	1082875 
 
0xdfe3aa835666d1122a8c7999245710ab4d2af3ce1081f3b25f225b6baf55a04c	3110056	4565	1538778176	5764337	0x0000000000000000000000000000000000000000	7766157	1084802 
 
0xe1dc60d83109accec07b5d0cc2482f645df1791f829849d51aa01c9a17342832	3110742	2923	1538788472	5765197	0x0000000000000000000000000000000000000000	7749312	1088634 
 
0x4252551e102d7f1caf837ed390669776922c11ae6a8c9732892f942f76f513b4	3110308	4889	1538781957	5764655	0x0000000000000000000000000000000000000000	7924189	1088996 
 
0xdd345b670609971aca3ef504099c2b809269bf3f0bb494899915e823c6472a8b	3110664	4678	1538787300	5765100	0x0000000000000000000000000000000000000000	7756090	1091207 
 
 
-----------------------------
running time of Sorting Blocks by Gas Used increasing on the whole data (in milliseconds): 12
__________________________________________________________________________________________________

2.Sorting Blocks by number of Transaction increasing (cross refrensed to transaction to compare number of transactions in each block):
block hash	block number	size	time stamp	total difficulty	miner	gas limit	gas used
 
0xf47547af988f39f39bb69d714cde40014a59acd26a190567be3180ee57d71a3f	3110681	3057	1538787557	5765120	0x0000000000000000000000000000000000000000	7738133	7720841 
 
0x140513bff9f04748940a9caaee17ac533faa031f8f84c2f9c9d6f65e49222a8c	3110723	1490	1538788187	5765172	0x0000000000000000000000000000000000000000	7748440	670635 
 
0x90bc939ce0c14272f9d905fd50fa477baeae9dac6a6c0bb24e38954c204f7356	3110710	1970	1538787992	5765158	0x0000000000000000000000000000000000000000	7735105	7084661 
 
0x210000e857272e181e99958dba35a0f0cb0a8047cf79ee7538d8628740f92c18	3110013	1979	1538777531	5764281	0x0000000000000000000000000000000000000000	7769991	7088201 
 
0x9036fe3e954eb628353ce2b53677a0c7ef0b56a7091ba18d6f9826e85bb3fc5b	3110073	1660	1538778431	5764356	0x0000000000000000000000000000000000000000	7756237	1924597 
 
0x0df1cc821741b95d819d63e386ce19154eaae3ef147da352edc45afb2ab2a1d9	3110771	2110	1538788907	5765234	0x0000000000000000000000000000000000000000	7752425	7085014 
 
0xa1894ff3576bc6d83da6643c076c1ce4a3bdac895ac663a735b36cc745072137	3110735	3773	1538788367	5765188	0x0000000000000000000000000000000000000000	7756305	933218 
 
0x1cce16e2bd0973a87a83150bd4fa09f484ee4eb7202479e31af69db921889d1c	3110734	2277	1538788352	5765186	0x0000000000000000000000000000000000000000	7748739	7140152 
 
0x8116ba39d9ff0e886dece8e6cb67b6c01877fd32b717c23ce7347fdd34cdddd1	3110055	1976	1538778161	5764336	0x0000000000000000000000000000000000000000	7763415	7046845 
 
